id,original_text,corrected_text,error_types,error_details,grade,topic,source,word_count,timestamp
11,"Người bạn thân nhất của em tên là Minh. Chúng em trơi với nhau từ năm lớp 6. Minh là người giất vui tính và tốt bụng. Mỗi khi em gặp khó khăn trong học tập, Minh luôn sẵn sàng giúp đỡ. Chúng em thường cùng nhau ôn bài, làm bài tập và chia sẻ những ước mơ tương lai.","Người bạn thân nhất của em tên là Minh. Chúng em chơi với nhau từ năm lớp 6. Minh là người rất vui tính và tốt bụng. Mỗi khi em gặp khó khăn trong học tập, Minh luôn sẵn sàng giúp đỡ. Chúng em thường cùng nhau ôn bài, làm bài tập và chia sẻ những ước mơ tương lai.",spelling,"r->gi, ch->tr",10,Người bạn thân nhất,synthetic,60,2024-01-15
12,"Người bạn thân nhất của em tên là Minh. Chúng em trơi với nhau từ năm lớp 6. Minh là người rất vui tính và tốt bụng. Mỗi khi em gặp khó khăn trong học tập, Minh luôn sẵn sàng rúp đỡ. Chúng em thường cùng nhau ôn bài, làm bài tập và chia sẻ những ước mơ tương lai.","Người bạn thân nhất của em tên là Minh. Chúng em chơi với nhau từ năm lớp 6. Minh là người rất vui tính và tốt bụng. Mỗi khi em gặp khó khăn trong học tập, Minh luôn sẵn sàng giúp đỡ. Chúng em thường cùng nhau ôn bài, làm bài tập và chia sẻ những ước mơ tương lai.",spelling,"gi->r, ch->tr",12,Người bạn thân nhất,synthetic,60,2024-01-15
13,Bạn Lan là người bạn thân nhất của em. Bạn ấy không những học giỏi mà còn hát rất hay. Lan luôn động viên em khi em gặp thất bại. Tình bạn của chúng em ngày càng gắn bó qua năm tháng.,Bạn Lan là người bạn thân nhất của em. Bạn ấy không những học giỏi mà còn hát rất hay. Lan luôn động viên em khi em gặp thất bại. Tình bạn của chúng em ngày càng gắn bó qua năm tháng.,no_error,Câu đúng,10,Người bạn thân nhất,synthetic,42,2024-01-15
14,Bạn Lan là người bạn thân nhất của em. Bạn ấy không những học dỏi mà còn hát dất hay. Lan luôn động viên em khi em gặp thất bại. Tình bạn của trúng em ngày càng gắn bó qua năm tháng.,Bạn Lan là người bạn thân nhất của em. Bạn ấy không những học giỏi mà còn hát rất hay. Lan luôn động viên em khi em gặp thất bại. Tình bạn của chúng em ngày càng gắn bó qua năm tháng.,spelling,"gi->d, r->d, ch->tr",11,Người bạn thân nhất,synthetic,42,2024-01-15
15,Bạn Lan là người bạn thân nhất của em. Bạn ấy không những học giỏi mà còn hát dất hay. Lan luôn động viên em khi em gặp thất bại. Tình bạn của chúng em ngày càng gắn bó qua năm tháng.,Bạn Lan là người bạn thân nhất của em. Bạn ấy không những học giỏi mà còn hát rất hay. Lan luôn động viên em khi em gặp thất bại. Tình bạn của chúng em ngày càng gắn bó qua năm tháng.,spelling,r->d,10,Người bạn thân nhất,synthetic,42,2024-01-15
16,Bạn Lan là người bạn thân nhất của em. Bạn ấy không những học rỏi mà còn hát rất hay. Lan luôn động viên em khi em gặp thất bại. Tình bạn của chúng em ngày càng gắn bó qua năm tháng.,Bạn Lan là người bạn thân nhất của em. Bạn ấy không những học giỏi mà còn hát rất hay. Lan luôn động viên em khi em gặp thất bại. Tình bạn của chúng em ngày càng gắn bó qua năm tháng.,spelling,"gi->d, d->r",10,Người bạn thân nhất,synthetic,42,2024-01-15
17,"Ước mơ của em là trở thành bác sĩ. Em muốn chữa bệnh cứu người và giúp đỡ những bệnh nhân nghèo. Để thực hiện ước mơ này, em đang cố gắng học tập thật tốt, đặc biệt là các môn Toán, Hóa và Sinh. Em tin rằng với sự nỗ lực không ngừng, ước mơ của em sẽ thành hiện thực.","Ước mơ của em là trở thành bác sĩ. Em muốn chữa bệnh cứu người và giúp đỡ những bệnh nhân nghèo. Để thực hiện ước mơ này, em đang cố gắng học tập thật tốt, đặc biệt là các môn Toán, Hóa và Sinh. Em tin rằng với sự nỗ lực không ngừng, ước mơ của em sẽ thành hiện thực.",no_error,Câu đúng,11,Ước mơ tương lai,synthetic,62,2024-01-15
18,"Ước mơ của em là trở thành bác sĩ. Em muốn trữa bệnh cứu người và giúp đỡ những bệnh nhân nghèo. Để thực hiện ước mơ này, em đang cố gắng học tập thật tốt, đặc biệt là các môn Toán, Hóa và Sinh. Em tin rằng với sự nỗ lực không ngừng, ước mơ của em sẽ thành hiện thực.","Ước mơ của em là trở thành bác sĩ. Em muốn chữa bệnh cứu người và giúp đỡ những bệnh nhân nghèo. Để thực hiện ước mơ này, em đang cố gắng học tập thật tốt, đặc biệt là các môn Toán, Hóa và Sinh. Em tin rằng với sự nỗ lực không ngừng, ước mơ của em sẽ thành hiện thực.",spelling,"tr->ch, ch->tr, ch->tr",11,Ước mơ tương lai,synthetic,62,2024-01-15
19,"Ước mơ của em là trở thành bác xĩ. Em muốn trữa bệnh cứu người và giúp đỡ những bệnh nhân nghèo. Để thực hiện ước mơ này, em đang cố gắng học tập thật tốt, đặc biệt là các môn toán, Hóa và Sinh. Em tin rằng với sự nỗ lực không ngừng, ước mơ của em sẽ thành hiện thực.","Ước mơ của em là trở thành bác sĩ. Em muốn chữa bệnh cứu người và giúp đỡ những bệnh nhân nghèo. Để thực hiện ước mơ này, em đang cố gắng học tập thật tốt, đặc biệt là các môn Toán, Hóa và Sinh. Em tin rằng với sự nỗ lực không ngừng, ước mơ của em sẽ thành hiện thực.",spelling,"s->x, ch->tr, Toán->toán",11,Ước mơ tương lai,synthetic,62,2024-01-15
20,"Ước mơ của em là tdở thành bác sĩ. Em muốn chữa bệnh cứu người và dúp đỡ những bệnh nhân nghèo. Để thực hiện ước mơ này, em đang cố gắng học tập thật tốt, đặc biệt là các môn Toán, Hóa và Sinh. Em tin rằng với sự nỗ lực không ngừng, ước mơ của em sẽ thành hiện thực.","Ước mơ của em là trở thành bác sĩ. Em muốn chữa bệnh cứu người và giúp đỡ những bệnh nhân nghèo. Để thực hiện ước mơ này, em đang cố gắng học tập thật tốt, đặc biệt là các môn Toán, Hóa và Sinh. Em tin rằng với sự nỗ lực không ngừng, ước mơ của em sẽ thành hiện thực.",spelling,"gi->d, r->d",12,Ước mơ tương lai,synthetic,62,2024-01-15
21,"Sau khi tốt nghiệp THPT, em muốn trở thành kỹ sư công nghệ thông tin. Em rất thích lập trình và sáng tạo ra những ứng dụng hữu ích. Em đang học thêm các khóa học online về lập trình để chuẩn bị cho tương lai.","Sau khi tốt nghiệp THPT, em muốn trở thành kỹ sư công nghệ thông tin. Em rất thích lập trình và sáng tạo ra những ứng dụng hữu ích. Em đang học thêm các khóa học online về lập trình để chuẩn bị cho tương lai.",no_error,Câu đúng,10,Ước mơ tương lai,synthetic,46,2024-01-15
22,"Sau khi tốt ngghiệp THPT, em muốn trở thành kỹ sư công nghệ thông tin. Em rất thích lập trình và sáng tạo ra những ứng rụng hữu ích. Em đang học thêm các khóa học online về lập trình để chuẩn bị cho tương lai.","Sau khi tốt nghiệp THPT, em muốn trở thành kỹ sư công nghệ thông tin. Em rất thích lập trình và sáng tạo ra những ứng dụng hữu ích. Em đang học thêm các khóa học online về lập trình để chuẩn bị cho tương lai.",spelling,"n->ng, d->r",11,Ước mơ tương lai,synthetic,46,2024-01-15
23,"Sau khi tốt nghiệp THPT, em muốn trở thành kỹ sư công nghệ thông tin. Em rất thích lập trình và sáng tạo ra những ứng giụng hữu ích. Em đang học thêm các khóa học online về lập trình để chuẩn bị cho tương lai.","Sau khi tốt nghiệp THPT, em muốn trở thành kỹ sư công nghệ thông tin. Em rất thích lập trình và sáng tạo ra những ứng dụng hữu ích. Em đang học thêm các khóa học online về lập trình để chuẩn bị cho tương lai.",spelling,d->gi,12,Ước mơ tương lai,synthetic,46,2024-01-15
24,"Sau khi tốt nghiệp THPT, em muốn tdở thành kỹ sư công nghệ thông tin. Em rất thítr lập trình và sáng tạo ra những ứng giụng hữu ích. Em đang học thêm các khóa học online về lập trình để chuẩn bị cho tương lai.","Sau khi tốt nghiệp THPT, em muốn trở thành kỹ sư công nghệ thông tin. Em rất thích lập trình và sáng tạo ra những ứng dụng hữu ích. Em đang học thêm các khóa học online về lập trình để chuẩn bị cho tương lai.",spelling,"ch->tr, d->gi, r->d",11,Ước mơ tương lai,synthetic,46,2024-01-15
